,0
290,290:1747668448763:
291,291:1747668448763:
292,292:1747668448763:
293,293:1747668448763:
294,294:1747668448763:
295,295:1747668448763:
296,296:1747668448763:
297,297:1747668448764:
298,298:1747668448764:
299,299:1747668448764:
300,300:1747668448765:
301,301:1747668448765:
302,302:1747668448765:
303,303:1747668448765:
304,304:1747668448766:
305,305:1747668448766:
306,306:1747668448766:
307,307:1747668448766:
308,308:1747668448767:
309,309:1747668448767:
310,310:1747668448767:
311,311:1747668448767:
312,312:1747668448767:
313,313:1747668448767:
314,314:1747668448769:
315,315:1747668448769:
316,316:1747668448770:
317,317:1747668448770:
318,318:1747668448770:
319,319:1747668448770:
320,320:1747668448770:
321,321:1747668448770:
322,322:1747668448770:
323,323:1747668448770:
324,324:1747668448770:
325,325:1747668448770:
326,326:1747668448777:
327,327:1747668448777:
328,328:1747668448777:
329,329:1747668448777:
330,330:1747668448777:
331,331:1747668448777:
332,332:1747668448777:
333,333:1747668448778:
334,334:1747668448778:
335,335:1747668448778:
336,336:1747668448778:
337,337:1747668448778:
338,338:1747668448778:
339,339:1747668448779:
340,340:1747668448781:
341,341:1747668448781:
342,342:1747668448781:
343,343:1747668448781:
344,344:1747668448781:
345,345:1747668448781:
346,346:1747668448781:
347,347:1747668448781:
348,348:1747668448781:
349,349:1747668448781:
350,350:1747668448782:
351,351:1747668448782:
352,352:1747668448782:
353,353:1747668448782:
354,354:1747668448782:
355,355:1747668448782:
356,356:1747668448782:
357,357:1747668448782:
358,358:1747668448782:
359,359:1747668448782:
360,360:1747668448782:
361,361:1747668448782:
362,362:1747668448782:
363,363:1747668448782:
364,364:1747668448783:
365,365:1747668448783:
366,366:1747668448783:
367,367:1747668448783:
368,368:1747668448783:
369,369:1747668448784:
370,370:1747668448784:
371,371:1747668448785:
372,372:1747668448785:
373,373:1747668448785:
374,374:1747668448785:
375,375:1747668448786:
376,376:1747668448786:
377,377:1747668448794:
378,378:1747668448794:
379,379:1747668448794:
380,380:1747668448794:
381,381:1747668448794:
382,382:1747668448796:
383,383:1747668448796:
384,384:1747668448797:
385,385:1747668448797:
386,386:1747668448797:
387,387:1747668448797:
388,388:1747668448803:
389,389:1747668448803:
390,390:1747668448803:
391,391:1747668448805:
392,392:1747668448819:
393,393:1747668448819:
394,394:1747668448819:
395,395:1747668448819:
396,396:1747668448819:
397,397:1747668448819:
398,398:1747668448819:
399,399:1747668448825:
400,400:1747668448825:
