,pub_qos,sub_qos,delay,size,instances,rate_of_receive,mean_msg_loss,out_of_order,duplication_rate,mean_gap_ms,std_gap_ms
0,1,2,0,0,5,7447.77,92.06,0.0,0.0,0.68,0.00777
0,1,0,0,4000,1,0,100,,,
0,0,2,0,0,1,85510.5,6.67,0.0,0.0,0.01,
0,2,1,100,4000,1,9.63,0.0,0.0,0.0,103.86,
0,2,2,0,0,5,3831.1,96.28,0.0,0.0,1.31,0.01871
0,2,0,100,0,10,0,100,,,
0,0,0,100,1000,5,0,100,,,
0,1,2,100,4000,1,9.67,0.0,0.0,0.0,103.46,
0,1,1,0,4000,1,4312.63,98.07,0.0,0.0,0.23,
0,0,1,0,4000,5,64316.6,5.85,0.0,0.0,0.08,0.01874
0,2,1,0,1000,5,3994.67,96.22,0.0,0.0,1.26,0.01771
0,1,0,100,4000,1,0,100,,,
0,1,1,100,0,10,96.57,0.0,0.0,0.0,103.79,0.09737
0,0,0,100,4000,5,0,100,,,
0,1,0,100,0,5,0,100,,,
0,2,1,100,1000,1,9.63,0.0,0.0,0.0,103.92,
0,1,2,0,0,10,7193.77,92.01,0.0,0.0,1.4,0.01387
0,1,0,100,0,10,0,100,,,
0,0,2,100,1000,5,48.17,0.0,0.0,0.0,104.03,0.02168
0,1,2,0,4000,5,6434.97,92.89,0.0,0.0,0.78,0.00762
0,1,0,100,0,1,0,100,,,
0,0,2,0,4000,5,56216.17,0.12,0.0,0.0,0.09,0.00125
0,0,2,100,4000,10,96.4,0.0,0.0,0.0,103.89,0.09335
0,2,1,0,0,5,3958.57,96.44,0.0,0.0,1.27,0.01101
0,0,0,100,1000,10,0,100,,,
0,1,1,0,1000,1,3714.73,98.58,0.0,0.0,0.27,
0,0,1,100,1000,10,93.87,0.0,0.0,0.0,106.8,0.23362
0,1,0,0,0,1,0,100,,,
0,1,2,100,0,10,93.77,0.0,0.0,0.0,106.84,0.19379
0,0,0,0,1000,1,0,100,,,
0,2,0,0,1000,1,0,100,,,
0,2,1,100,4000,5,46.7,0.0,0.0,0.0,107.13,0.15125
0,2,2,100,1000,5,46.73,0.0,0.0,0.0,107.13,0.03907
0,2,2,100,1000,10,24.0,0.0,0.0,0.0,106.5,0.04977
0,1,0,100,1000,5,0,100,,,
0,2,0,100,4000,1,0,100,,,
0,1,1,0,1000,5,7126.8,92.37,0.0,0.0,0.71,0.01122
0,0,1,0,0,5,65925.03,0.0,0.0,0.0,0.08,0.01785
0,0,0,0,0,10,0,100,,,
0,1,2,0,1000,5,7197.13,92.12,0.0,0.0,0.7,0.00356
0,2,1,0,1000,10,9461.5,92.98,0.0,0.0,1.77,0.08707
0,1,1,0,0,1,5540.07,97.8,0.0,0.0,0.18,
0,0,2,0,0,10,68934.27,0.34,0.0,0.0,0.17,0.04057
0,2,0,100,1000,10,0,100,,,
0,0,2,100,4000,5,48.17,0.0,0.0,0.0,104.0,0.06959
