topic,payload,recv_ts
$SYS/broker/version,mosquitto version 2.0.11,1747634680151
$SYS/broker/uptime,225599 seconds,1747634680151
$SYS/broker/clients/total,13,1747634680151
$SYS/broker/clients/active,1,1747634680151
$SYS/broker/clients/connected,1,1747634680151
$SYS/broker/load/messages/received/1min,276020.64,1747634680151
$SYS/broker/load/messages/received/5min,383412.18,1747634680152
$SYS/broker/load/messages/received/15min,293699.85,1747634680152
$SYS/broker/load/messages/sent/1min,215842.82,1747634680152
$SYS/broker/load/messages/sent/5min,261778.31,1747634680152
$SYS/broker/load/messages/sent/15min,160364.23,1747634680152
$SYS/broker/load/publish/dropped/1min,47369.14,1747634680152
$SYS/broker/load/publish/dropped/5min,57465.22,1747634680152
$SYS/broker/load/publish/dropped/15min,52499.07,1747634680152
$SYS/broker/load/publish/received/1min,276005.54,1747634680152
$SYS/broker/load/publish/received/5min,383383.90,1747634680152
$SYS/broker/load/publish/received/15min,293674.15,1747634680152
$SYS/broker/load/publish/sent/1min,215823.23,1747634680152
$SYS/broker/load/publish/sent/5min,261745.31,1747634680152
$SYS/broker/load/publish/sent/15min,160333.64,1747634680152
$SYS/broker/load/bytes/received/1min,10988411.79,1747634680152
$SYS/broker/load/bytes/received/5min,15190204.12,1747634680152
$SYS/broker/load/bytes/received/15min,11659326.65,1747634680152
$SYS/broker/load/bytes/sent/1min,8592396.92,1747634680152
$SYS/broker/load/bytes/sent/5min,10331242.93,1747634680152
$SYS/broker/load/bytes/sent/15min,6319217.79,1747634680153
$SYS/broker/load/sockets/1min,3.35,1747634680153
$SYS/broker/load/sockets/5min,5.42,1747634680153
$SYS/broker/load/sockets/15min,4.55,1747634680153
$SYS/broker/load/connections/1min,3.35,1747634680153
$SYS/broker/load/connections/5min,5.42,1747634680153
$SYS/broker/load/connections/15min,4.55,1747634680153
$SYS/broker/messages/received,52669414,1747634680153
$SYS/broker/messages/sent,17270879,1747634680153
$SYS/broker/store/messages/bytes,361,1747634680153
$SYS/broker/subscriptions/count,63,1747634680153
$SYS/broker/heap/current,105120,1747634680153
$SYS/broker/publish/messages/received,52657276,1747634680153
$SYS/broker/publish/messages/sent,17257805,1747634680153
$SYS/broker/publish/bytes/received,1102227577,1747634680153
$SYS/broker/publish/bytes/sent,355810440,1747634680153
$SYS/broker/bytes/received,2103027633,1747634680153
$SYS/broker/bytes/sent,684278018,1747634680153
$SYS/broker/uptime,225610 seconds,1747634691124
$SYS/broker/clients/total,14,1747634691124
$SYS/broker/clients/active,2,1747634691124
$SYS/broker/clients/connected,2,1747634691124
$SYS/broker/load/messages/received/1min,229793.73,1747634691124
$SYS/broker/load/messages/sent/1min,179734.63,1747634691124
$SYS/broker/load/publish/dropped/1min,39434.37,1747634691124
$SYS/broker/load/publish/received/1min,229776.59,1747634691124
$SYS/broker/load/publish/sent/1min,179713.75,1747634691124
$SYS/broker/load/bytes/received/1min,9147936.05,1747634691124
$SYS/broker/load/bytes/sent/1min,7154970.14,1747634691124
$SYS/broker/load/sockets/1min,4.62,1747634691124
$SYS/broker/load/connections/1min,4.62,1747634691125
$SYS/broker/load/messages/received/5min,369610.31,1747634691125
$SYS/broker/load/messages/sent/5min,252363.83,1747634691125
$SYS/broker/load/publish/dropped/5min,55396.33,1747634691125
$SYS/broker/load/publish/received/5min,369582.07,1747634691125
$SYS/broker/load/publish/sent/5min,252331.03,1747634691125
$SYS/broker/load/bytes/received/5min,14643357.56,1747634691125
$SYS/broker/load/bytes/sent/5min,9959695.62,1747634691125
$SYS/broker/load/sockets/5min,5.62,1747634691125
$SYS/broker/load/connections/5min,5.62,1747634691125
$SYS/broker/load/messages/received/15min,290132.70,1747634691125
$SYS/broker/load/messages/sent/15min,158419.60,1747634691125
$SYS/broker/load/publish/dropped/15min,51861.32,1747634691125
$SYS/broker/load/publish/received/15min,290106.98,1747634691125
$SYS/broker/load/publish/sent/15min,158389.05,1747634691125
$SYS/broker/load/bytes/received/15min,11517704.60,1747634691125
$SYS/broker/load/bytes/sent/15min,6242589.35,1747634691126
$SYS/broker/load/sockets/15min,4.63,1747634691126
$SYS/broker/load/connections/15min,4.63,1747634691126
$SYS/broker/messages/stored,43,1747634691126
$SYS/broker/store/messages/count,43,1747634691126
$SYS/broker/store/messages/bytes,345,1747634691126
$SYS/broker/retained messages/count,45,1747634691126
$SYS/broker/heap/current,100544,1747634691126
$SYS/broker/messages/received,52669424,1747634691126
$SYS/broker/messages/sent,17270964,1747634691126
$SYS/broker/publish/messages/received,52657281,1747634691126
$SYS/broker/publish/messages/sent,17257887,1747634691126
$SYS/broker/bytes/received,2103027837,1747634691126
$SYS/broker/bytes/sent,684281747,1747634691126
