topic,payload,recv_ts
counter/1/0/0/0,311815:1747635527120:,1747635551057
counter/1/0/0/0,311816:1747635527120:,1747635551057
counter/1/0/0/0,311817:1747635527120:,1747635551058
counter/1/0/0/0,311818:1747635527120:,1747635551058
counter/1/0/0/0,311819:1747635527120:,1747635551058
counter/1/0/0/0,311820:1747635527120:,1747635551058
counter/1/0/0/0,311821:1747635527120:,1747635551058
counter/1/0/0/0,311822:1747635527120:,1747635551058
counter/1/0/0/0,311823:1747635527120:,1747635551058
counter/1/0/0/0,311824:1747635527120:,1747635551058
counter/1/0/0/0,311825:1747635527120:,1747635551058
counter/1/0/0/0,311826:1747635527120:,1747635551058
counter/1/0/0/0,311827:1747635527120:,1747635551058
counter/1/0/0/0,311828:1747635527120:,1747635551058
counter/1/0/0/0,311829:1747635527120:,1747635551058
counter/1/0/0/0,311830:1747635527120:,1747635551058
counter/1/0/0/0,311831:1747635527120:,1747635551058
counter/1/0/0/0,311832:1747635527120:,1747635551058
counter/1/0/0/0,311833:1747635527120:,1747635551059
counter/1/0/0/0,311834:1747635527120:,1747635551059
counter/1/0/0/0,311835:1747635527120:,1747635551059
counter/1/0/0/0,311836:1747635527120:,1747635551059
counter/1/0/0/0,311837:1747635527120:,1747635551059
counter/1/0/0/0,311838:1747635527120:,1747635551059
counter/1/0/0/0,311839:1747635527120:,1747635551059
counter/1/0/0/0,311840:1747635527120:,1747635551059
counter/1/0/0/0,311841:1747635527120:,1747635551059
counter/1/0/0/0,311842:1747635527120:,1747635551059
counter/1/0/0/0,311843:1747635527120:,1747635551059
counter/1/0/0/0,311844:1747635527120:,1747635551059
counter/1/0/0/0,311845:1747635527120:,1747635551059
counter/1/0/0/0,311846:1747635527120:,1747635551059
counter/1/0/0/0,311847:1747635527120:,1747635551059
counter/1/0/0/0,311848:1747635527120:,1747635551059
counter/1/0/0/0,311849:1747635527120:,1747635551059
counter/1/0/0/0,311850:1747635527120:,1747635551059
counter/1/0/0/0,311851:1747635527120:,1747635551059
counter/1/0/0/0,311852:1747635527120:,1747635551060
counter/1/0/0/0,311853:1747635527120:,1747635551060
counter/1/0/0/0,311854:1747635527120:,1747635551060
counter/1/0/0/0,311855:1747635527120:,1747635551060
counter/1/0/0/0,311856:1747635527120:,1747635551060
counter/1/0/0/0,311857:1747635527120:,1747635551060
counter/1/0/0/0,311858:1747635527121:,1747635551060
counter/1/0/0/0,311859:1747635527121:,1747635551060
counter/1/0/0/0,311860:1747635527121:,1747635551060
counter/1/0/0/0,311861:1747635527121:,1747635551060
counter/1/0/0/0,311862:1747635527121:,1747635551060
counter/1/0/0/0,311863:1747635527121:,1747635551060
counter/1/0/0/0,311864:1747635527121:,1747635551060
counter/1/0/0/0,311865:1747635527121:,1747635551060
counter/1/0/0/0,311866:1747635527121:,1747635551060
counter/1/0/0/0,311867:1747635527121:,1747635551060
counter/1/0/0/0,311868:1747635527121:,1747635551060
counter/1/0/0/0,311869:1747635527121:,1747635551060
counter/1/0/0/0,311870:1747635527121:,1747635551060
counter/1/0/0/0,311871:1747635527121:,1747635551060
counter/1/0/0/0,311872:1747635527121:,1747635551061
counter/1/0/0/0,311873:1747635527121:,1747635551061
counter/1/0/0/0,311874:1747635527121:,1747635551061
counter/1/0/0/0,311875:1747635527121:,1747635551061
counter/1/0/0/0,311876:1747635527121:,1747635551061
counter/1/0/0/0,311877:1747635527121:,1747635551061
counter/1/0/0/0,311878:1747635527121:,1747635551061
counter/1/0/0/0,311879:1747635527121:,1747635551061
counter/1/0/0/0,311880:1747635527121:,1747635551061
counter/1/0/0/0,311881:1747635527121:,1747635551061
counter/1/0/0/0,311882:1747635527121:,1747635551061
counter/1/0/0/0,311883:1747635527121:,1747635551061
counter/1/0/0/0,311884:1747635527121:,1747635551061
counter/1/0/0/0,311885:1747635527121:,1747635551061
counter/1/0/0/0,311886:1747635527121:,1747635551061
counter/1/0/0/0,311887:1747635527121:,1747635551061
counter/1/0/0/0,311888:1747635527121:,1747635551061
counter/1/0/0/0,311889:1747635527121:,1747635551061
counter/1/0/0/0,311890:1747635527121:,1747635551061
counter/1/0/0/0,311891:1747635527121:,1747635551062
counter/1/0/0/0,311892:1747635527121:,1747635551062
counter/1/0/0/0,311893:1747635527121:,1747635551062
counter/1/0/0/0,311894:1747635527121:,1747635551062
counter/1/0/0/0,311895:1747635527121:,1747635551062
counter/1/0/0/0,311896:1747635527121:,1747635551062
counter/1/0/0/0,311897:1747635527121:,1747635551062
counter/1/0/0/0,311898:1747635527121:,1747635551062
counter/1/0/0/0,311899:1747635527121:,1747635551062
counter/1/0/0/0,311900:1747635527121:,1747635551062
counter/1/0/0/0,311901:1747635527121:,1747635551062
counter/1/0/0/0,311902:1747635527121:,1747635551062
counter/1/0/0/0,311903:1747635527121:,1747635551062
counter/1/0/0/0,311904:1747635527121:,1747635551062
counter/1/0/0/0,311905:1747635527121:,1747635551062
counter/1/0/0/0,311906:1747635527121:,1747635551062
counter/1/0/0/0,311907:1747635527121:,1747635551062
counter/1/0/0/0,311908:1747635527121:,1747635551062
counter/1/0/0/0,311909:1747635527121:,1747635551062
counter/1/0/0/0,311910:1747635527121:,1747635551062
counter/1/0/0/0,311911:1747635527121:,1747635551063
counter/1/0/0/0,311912:1747635527121:,1747635551063
counter/1/0/0/0,311913:1747635527121:,1747635551063
counter/1/0/0/0,311914:1747635527121:,1747635551063
counter/1/0/0/0,311915:1747635527121:,1747635551063
counter/1/0/0/0,311916:1747635527121:,1747635551063
counter/1/0/0/0,311917:1747635527121:,1747635551063
counter/1/0/0/0,311918:1747635527121:,1747635551063
counter/1/0/0/0,311919:1747635527121:,1747635551063
counter/1/0/0/0,311920:1747635527121:,1747635551063
counter/1/0/0/0,311921:1747635527121:,1747635551063
counter/1/0/0/0,311922:1747635527121:,1747635551063
counter/1/0/0/0,311923:1747635527121:,1747635551063
counter/1/0/0/0,311924:1747635527121:,1747635551063
counter/1/0/0/0,311925:1747635527121:,1747635551063
counter/1/0/0/0,311926:1747635527122:,1747635551063
counter/1/0/0/0,311927:1747635527122:,1747635551063
counter/1/0/0/0,311928:1747635527122:,1747635551063
counter/1/0/0/0,311929:1747635527122:,1747635551063
counter/1/0/0/0,311930:1747635527122:,1747635551064
counter/1/0/0/0,311931:1747635527122:,1747635551064
counter/1/0/0/0,311932:1747635527122:,1747635551064
counter/1/0/0/0,311933:1747635527122:,1747635551064
counter/1/0/0/0,311934:1747635527122:,1747635551064
counter/1/0/0/0,311935:1747635527122:,1747635551064
counter/1/0/0/0,311936:1747635527122:,1747635551064
counter/1/0/0/0,311937:1747635527122:,1747635551064
counter/1/0/0/0,311938:1747635527122:,1747635551064
counter/1/0/0/0,311939:1747635527122:,1747635551064
counter/1/0/0/0,311940:1747635527122:,1747635551064
counter/1/0/0/0,311941:1747635527122:,1747635551064
counter/1/0/0/0,311942:1747635527122:,1747635551064
counter/1/0/0/0,311943:1747635527122:,1747635551064
counter/1/0/0/0,311944:1747635527122:,1747635551064
counter/1/0/0/0,311945:1747635527122:,1747635551064
counter/1/0/0/0,311946:1747635527122:,1747635551064
counter/1/0/0/0,311947:1747635527122:,1747635551064
counter/1/0/0/0,311948:1747635527122:,1747635551064
counter/1/0/0/0,311949:1747635527122:,1747635551065
counter/1/0/0/0,311950:1747635527122:,1747635551065
counter/1/0/0/0,311951:1747635527122:,1747635551065
counter/1/0/0/0,311952:1747635527122:,1747635551065
counter/1/0/0/0,311953:1747635527122:,1747635551065
counter/1/0/0/0,311954:1747635527122:,1747635551065
counter/1/0/0/0,311955:1747635527122:,1747635551065
counter/1/0/0/0,311956:1747635527122:,1747635551065
counter/1/0/0/0,311957:1747635527122:,1747635551065
counter/1/0/0/0,311958:1747635527122:,1747635551065
