topic,payload,recv_ts
$SYS/broker/version,mosquitto version 2.0.11,1747634647187
$SYS/broker/uptime,225566 seconds,1747634647187
$SYS/broker/clients/total,13,1747634647187
$SYS/broker/clients/inactive,12,1747634647187
$SYS/broker/clients/disconnected,12,1747634647187
$SYS/broker/clients/active,1,1747634647187
$SYS/broker/clients/connected,1,1747634647187
$SYS/broker/load/messages/received/1min,478401.05,1747634647187
$SYS/broker/load/messages/received/5min,427992.35,1747634647187
$SYS/broker/load/messages/received/15min,304667.97,1747634647188
$SYS/broker/load/messages/sent/1min,374028.10,1747634647188
$SYS/broker/load/messages/sent/5min,292202.79,1747634647188
$SYS/broker/load/messages/sent/15min,166348.60,1747634647188
$SYS/broker/load/publish/dropped/1min,82102.71,1747634647188
$SYS/broker/load/publish/dropped/5min,64147.17,1747634647188
$SYS/broker/load/publish/dropped/15min,54459.77,1747634647188
$SYS/broker/load/publish/received/1min,478381.94,1747634647188
$SYS/broker/load/publish/received/5min,427962.02,1747634647188
$SYS/broker/load/publish/received/15min,304641.72,1747634647188
$SYS/broker/load/publish/sent/1min,374003.85,1747634647188
$SYS/broker/load/publish/sent/5min,292167.60,1747634647188
$SYS/broker/load/publish/sent/15min,166317.41,1747634647188
$SYS/broker/load/bytes/received/1min,19045469.73,1747634647188
$SYS/broker/load/bytes/received/5min,16956449.55,1747634647188
$SYS/broker/load/bytes/received/15min,12094755.74,1747634647188
$SYS/broker/load/bytes/sent/1min,14889889.32,1747634647188
$SYS/broker/load/bytes/sent/5min,11532014.00,1747634647188
$SYS/broker/load/bytes/sent/15min,6555050.26,1747634647188
$SYS/broker/load/sockets/1min,3.61,1747634647189
$SYS/broker/load/sockets/5min,5.65,1747634647189
$SYS/broker/load/sockets/15min,4.59,1747634647189
$SYS/broker/load/connections/1min,3.61,1747634647189
$SYS/broker/load/connections/5min,5.65,1747634647189
$SYS/broker/load/connections/15min,4.59,1747634647189
$SYS/broker/messages/stored,49,1747634647189
$SYS/broker/messages/received,52669403,1747634647189
$SYS/broker/messages/sent,17270752,1747634647189
$SYS/broker/store/messages/count,49,1747634647189
$SYS/broker/store/messages/bytes,362,1747634647189
$SYS/broker/subscriptions/count,63,1747634647189
$SYS/broker/retained messages/count,49,1747634647189
$SYS/broker/heap/current,104968,1747634647189
$SYS/broker/publish/messages/dropped,26596112,1747634647189
$SYS/broker/publish/messages/received,52657271,1747634647189
$SYS/broker/publish/messages/sent,17257683,1747634647189
$SYS/broker/publish/bytes/received,1102227568,1747634647189
$SYS/broker/publish/bytes/sent,355809404,1747634647189
$SYS/broker/bytes/received,2103027426,1747634647190
$SYS/broker/bytes/sent,684272569,1747634647190
$SYS/broker/uptime,225577 seconds,1747634658162
$SYS/broker/clients/total,14,1747634658162
$SYS/broker/clients/active,2,1747634658162
$SYS/broker/clients/connected,2,1747634658162
$SYS/broker/load/messages/received/1min,398273.52,1747634658162
$SYS/broker/load/messages/sent/1min,311427.88,1747634658162
$SYS/broker/load/publish/dropped/1min,68349.74,1747634658162
$SYS/broker/load/publish/received/1min,398253.05,1747634658162
$SYS/broker/load/publish/sent/1min,311403.12,1747634658162
$SYS/broker/load/bytes/received/1min,15855362.07,1747634658162
$SYS/broker/load/bytes/sent/1min,12397786.34,1747634658162
$SYS/broker/load/sockets/1min,4.84,1747634658162
$SYS/broker/load/connections/1min,4.84,1747634658162
$SYS/broker/load/messages/received/5min,412585.48,1747634658162
$SYS/broker/load/messages/sent/5min,281694.12,1747634658162
$SYS/broker/load/publish/dropped/5min,61837.70,1747634658163
$SYS/broker/load/publish/received/5min,412555.26,1747634658163
$SYS/broker/load/publish/sent/5min,281659.22,1747634658163
$SYS/broker/load/bytes/received/5min,16346013.78,1747634658163
$SYS/broker/load/bytes/sent/5min,11117281.58,1747634658163
$SYS/broker/load/sockets/5min,5.84,1747634658163
$SYS/broker/load/connections/5min,5.84,1747634658163
$SYS/broker/load/messages/received/15min,300967.58,1747634658163
$SYS/broker/load/messages/sent/15min,164331.67,1747634658163
$SYS/broker/load/publish/dropped/15min,53798.20,1747634658163
$SYS/broker/load/publish/received/15min,300941.31,1747634658163
$SYS/broker/load/publish/sent/15min,164300.53,1747634658163
$SYS/broker/load/bytes/received/15min,11947844.24,1747634658163
$SYS/broker/load/bytes/sent/15min,6475572.40,1747634658163
$SYS/broker/load/sockets/15min,4.66,1747634658163
$SYS/broker/load/connections/15min,4.66,1747634658163
$SYS/broker/heap/current,101072,1747634658164
$SYS/broker/messages/received,52669413,1747634658164
$SYS/broker/messages/sent,17270839,1747634658164
$SYS/broker/publish/messages/received,52657276,1747634658164
$SYS/broker/publish/messages/sent,17257767,1747634658164
$SYS/broker/bytes/received,2103027631,1747634658164
$SYS/broker/bytes/sent,684276383,1747634658164
$SYS/broker/publish/bytes/received,1102227577,1747634658164
$SYS/broker/publish/bytes/sent,355810074,1747634658164
$SYS/broker/uptime,225588 seconds,1747634669087
$SYS/broker/load/messages/received/1min,331558.96,1747634669087
$SYS/broker/load/messages/sent/1min,259268.09,1747634669087
$SYS/broker/load/publish/dropped/1min,56900.51,1747634669087
$SYS/broker/load/publish/received/1min,331541.92,1747634669087
$SYS/broker/load/publish/sent/1min,259245.65,1747634669087
$SYS/broker/load/bytes/received/1min,13199440.08,1747634669087
$SYS/broker/load/bytes/sent/1min,10321188.76,1747634669088
$SYS/broker/load/sockets/1min,4.03,1747634669088
$SYS/broker/load/connections/1min,4.03,1747634669088
$SYS/broker/load/messages/received/5min,397731.34,1747634669088
$SYS/broker/load/messages/sent/5min,271553.97,1747634669088
$SYS/broker/load/publish/dropped/5min,59611.39,1747634669088
$SYS/broker/load/publish/received/5min,397702.20,1747634669088
$SYS/broker/load/publish/sent/5min,271519.94,1747634669088
$SYS/broker/load/bytes/received/5min,15757515.02,1747634669088
$SYS/broker/load/bytes/sent/5min,10717062.51,1747634669088
$SYS/broker/load/sockets/5min,5.63,1747634669088
$SYS/broker/load/connections/5min,5.63,1747634669088
$SYS/broker/load/messages/received/15min,297311.48,1747634669088
$SYS/broker/load/messages/sent/15min,162335.93,1747634669088
$SYS/broker/load/publish/dropped/15min,53144.67,1747634669089
$SYS/broker/load/publish/received/15min,297285.53,1747634669089
$SYS/broker/load/publish/sent/15min,162305.03,1747634669089
$SYS/broker/load/bytes/received/15min,11802703.81,1747634669089
$SYS/broker/load/bytes/sent/15min,6396918.95,1747634669089
$SYS/broker/load/sockets/15min,4.61,1747634669089
$SYS/broker/load/connections/15min,4.61,1747634669089
$SYS/broker/messages/sent,17270874,1747634669089
$SYS/broker/publish/messages/sent,17257801,1747634669089
$SYS/broker/bytes/sent,684277904,1747634669089
$SYS/broker/publish/bytes/sent,355810343,1747634669090
