topic,payload,recv_ts
$SYS/broker/version,mosquitto version 2.0.11,1747634779147
$SYS/broker/uptime,225698 seconds,1747634779147
$SYS/broker/clients/total,13,1747634779147
$SYS/broker/clients/active,1,1747634779147
$SYS/broker/clients/connected,1,1747634779147
$SYS/broker/load/messages/received/1min,53024.00,1747634779147
$SYS/broker/load/messages/received/5min,275649.74,1747634779147
$SYS/broker/load/messages/received/15min,263108.48,1747634779148
$SYS/broker/load/messages/sent/1min,41538.19,1747634779148
$SYS/broker/load/messages/sent/5min,188231.84,1747634779148
$SYS/broker/load/messages/sent/15min,143672.27,1747634779148
$SYS/broker/load/publish/dropped/1min,9097.24,1747634779148
$SYS/broker/load/publish/dropped/5min,41313.11,1747634779148
$SYS/broker/load/publish/dropped/15min,47030.46,1747634779148
$SYS/broker/load/publish/received/1min,53012.89,1747634779148
$SYS/broker/load/publish/received/5min,275626.24,1747634779148
$SYS/broker/load/publish/received/15min,263084.26,1747634779148
$SYS/broker/load/publish/sent/1min,41523.36,1747634779148
$SYS/broker/load/publish/sent/5min,188203.93,1747634779148
$SYS/broker/load/publish/sent/15min,143643.30,1747634779148
$SYS/broker/load/bytes/received/1min,2110575.16,1747634779148
$SYS/broker/load/bytes/received/5min,10920700.30,1747634779148
$SYS/broker/load/bytes/received/15min,10444861.55,1747634779148
$SYS/broker/load/bytes/sent/1min,1653155.92,1747634779148
$SYS/broker/load/bytes/sent/5min,7428553.90,1747634779148
$SYS/broker/load/bytes/sent/15min,5661416.45,1747634779149
$SYS/broker/load/sockets/1min,3.06,1747634779149
$SYS/broker/load/sockets/5min,4.88,1747634779149
$SYS/broker/load/sockets/15min,4.45,1747634779149
$SYS/broker/load/connections/1min,3.06,1747634779149
$SYS/broker/load/connections/5min,4.88,1747634779149
$SYS/broker/load/connections/15min,4.45,1747634779149
$SYS/broker/messages/stored,45,1747634779149
$SYS/broker/messages/received,52669448,1747634779149
$SYS/broker/messages/sent,17271287,1747634779149
$SYS/broker/store/messages/count,45,1747634779150
$SYS/broker/store/messages/bytes,340,1747634779150
$SYS/broker/retained messages/count,45,1747634779150
$SYS/broker/heap/current,104352,1747634779150
$SYS/broker/publish/messages/received,52657291,1747634779150
$SYS/broker/publish/messages/sent,17258198,1747634779150
$SYS/broker/publish/bytes/received,1102227602,1747634779150
$SYS/broker/publish/bytes/sent,355813665,1747634779150
$SYS/broker/bytes/received,2103028254,1747634779150
