topic,payload,recv_ts
$SYS/broker/version,mosquitto version 2.0.11,1747634746187
$SYS/broker/uptime,225665 seconds,1747634746187
$SYS/broker/clients/total,13,1747634746187
$SYS/broker/clients/active,1,1747634746187
$SYS/broker/clients/connected,1,1747634746187
$SYS/broker/load/messages/received/1min,91891.46,1747634746187
$SYS/broker/load/messages/received/5min,307699.50,1747634746187
$SYS/broker/load/messages/received/15min,272934.10,1747634746188
$SYS/broker/load/messages/sent/1min,71918.46,1747634746188
$SYS/broker/load/messages/sent/5min,210105.29,1747634746188
$SYS/broker/load/messages/sent/15min,149033.51,1747634746188
$SYS/broker/load/publish/dropped/1min,15767.82,1747634746188
$SYS/broker/load/publish/dropped/5min,46116.92,1747634746188
$SYS/broker/load/publish/dropped/15min,48786.92,1747634746188
$SYS/broker/load/publish/received/1min,91879.26,1747634746188
$SYS/broker/load/publish/received/5min,307674.51,1747634746188
$SYS/broker/load/publish/received/15min,272909.38,1747634746188
$SYS/broker/load/publish/sent/1min,71902.47,1747634746188
$SYS/broker/load/publish/sent/5min,210075.80,1747634746188
$SYS/broker/load/publish/sent/15min,149004.00,1747634746188
$SYS/broker/load/bytes/received/1min,3657932.61,1747634746188
$SYS/broker/load/bytes/received/5min,12190496.06,1747634746188
$SYS/broker/load/bytes/received/15min,10834933.79,1747634746189
$SYS/broker/load/bytes/sent/1min,2862608.91,1747634746189
$SYS/broker/load/bytes/sent/5min,8291839.30,1747634746189
$SYS/broker/load/bytes/sent/15min,5872692.89,1747634746189
$SYS/broker/load/sockets/1min,3.11,1747634746189
$SYS/broker/load/sockets/5min,5.04,1747634746189
$SYS/broker/load/sockets/15min,4.48,1747634746189
$SYS/broker/load/connections/1min,3.11,1747634746189
$SYS/broker/load/connections/5min,5.04,1747634746189
$SYS/broker/load/connections/15min,4.48,1747634746189
$SYS/broker/messages/stored,45,1747634746189
$SYS/broker/messages/received,52669437,1747634746189
$SYS/broker/messages/sent,17271164,1747634746189
$SYS/broker/store/messages/count,45,1747634746189
$SYS/broker/store/messages/bytes,341,1747634746189
$SYS/broker/retained messages/count,45,1747634746189
$SYS/broker/heap/current,104384,1747634746189
$SYS/broker/publish/messages/received,52657286,1747634746189
$SYS/broker/publish/messages/sent,17258080,1747634746189
$SYS/broker/publish/bytes/received,1102227593,1747634746189
$SYS/broker/publish/bytes/sent,355812664,1747634746190
$SYS/broker/bytes/received,2103028047,1747634746190
$SYS/broker/bytes/sent,684290339,1747634746190
$SYS/broker/uptime,225676 seconds,1747634757160
$SYS/broker/clients/total,14,1747634757160
$SYS/broker/clients/active,2,1747634757161
$SYS/broker/clients/connected,2,1747634757161
$SYS/broker/load/messages/received/1min,76507.91,1747634757161
$SYS/broker/load/messages/sent/1min,59920.78,1747634757161
$SYS/broker/load/publish/dropped/1min,13126.56,1747634757161
$SYS/broker/load/publish/received/1min,76493.19,1747634757161
$SYS/broker/load/publish/sent/1min,59902.90,1747634757161
$SYS/broker/load/bytes/received/1min,3045381.86,1747634757161
$SYS/broker/load/bytes/sent/1min,2385038.46,1747634757161
$SYS/broker/load/sockets/1min,4.42,1747634757161
$SYS/broker/load/connections/1min,4.42,1747634757161
$SYS/broker/load/messages/received/5min,296623.49,1747634757161
$SYS/broker/load/messages/sent/5min,202551.56,1747634757161
$SYS/broker/load/publish/dropped/5min,44456.59,1747634757161
$SYS/broker/load/publish/received/5min,296598.42,1747634757161
$SYS/broker/load/publish/sent/5min,202522.15,1747634757161
$SYS/broker/load/bytes/received/5min,11751646.93,1747634757162
$SYS/broker/load/bytes/sent/5min,7993729.34,1747634757162
$SYS/broker/load/sockets/5min,5.25,1747634757162
$SYS/broker/load/connections/5min,5.25,1747634757162
$SYS/broker/load/messages/received/15min,269619.20,1747634757162
$SYS/broker/load/messages/sent/15min,147226.66,1747634757162
$SYS/broker/load/publish/dropped/15min,48194.26,1747634757162
$SYS/broker/load/publish/received/15min,269594.46,1747634757162
$SYS/broker/load/publish/sent/15min,147197.17,1747634757162
$SYS/broker/load/bytes/received/15min,10703326.40,1747634757162
$SYS/broker/load/bytes/sent/15min,5801493.32,1747634757162
$SYS/broker/load/sockets/15min,4.56,1747634757162
$SYS/broker/load/connections/15min,4.56,1747634757162
$SYS/broker/heap/current,100272,1747634757162
$SYS/broker/messages/received,52669447,1747634757162
$SYS/broker/messages/sent,17271247,1747634757162
$SYS/broker/publish/messages/received,52657291,1747634757163
$SYS/broker/publish/messages/sent,17258160,1747634757163
$SYS/broker/bytes/received,2103028252,1747634757163
$SYS/broker/bytes/sent,684293982,1747634757163
$SYS/broker/publish/bytes/received,1102227602,1747634757163
$SYS/broker/publish/bytes/sent,355813306,1747634757163
$SYS/broker/uptime,225687 seconds,1747634768086
$SYS/broker/load/messages/received/1min,63692.12,1747634768087
$SYS/broker/load/messages/sent/1min,49890.80,1747634768087
$SYS/broker/load/publish/dropped/1min,10927.74,1747634768087
$SYS/broker/load/publish/received/1min,63679.86,1747634768087
$SYS/broker/load/publish/sent/1min,49874.09,1747634768087
$SYS/broker/load/bytes/received/1min,2535251.81,1747634768087
$SYS/broker/load/bytes/sent/1min,1985670.15,1747634768087
$SYS/broker/load/sockets/1min,3.68,1747634768087
$SYS/broker/load/connections/1min,3.68,1747634768087
$SYS/broker/load/messages/received/5min,285944.28,1747634768087
$SYS/broker/load/messages/sent/5min,195260.75,1747634768087
$SYS/broker/load/publish/dropped/5min,42856.04,1747634768087
$SYS/broker/load/publish/received/5min,285920.11,1747634768087
$SYS/broker/load/publish/sent/5min,195232.00,1747634768087
$SYS/broker/load/bytes/received/5min,11328557.26,1747634768087
$SYS/broker/load/bytes/sent/5min,7705966.22,1747634768087
$SYS/broker/load/sockets/5min,5.07,1747634768088
$SYS/broker/load/connections/5min,5.07,1747634768088
$SYS/broker/load/messages/received/15min,266343.91,1747634768088
$SYS/broker/load/messages/sent/15min,145438.70,1747634768088
$SYS/broker/load/publish/dropped/15min,47608.81,1747634768088
$SYS/broker/load/publish/received/15min,266319.47,1747634768088
$SYS/broker/load/publish/sent/15min,145409.44,1747634768088
$SYS/broker/load/bytes/received/15min,10573304.16,1747634768088
$SYS/broker/load/bytes/sent/15min,5731028.48,1747634768088
$SYS/broker/load/sockets/15min,4.51,1747634768088
$SYS/broker/load/connections/15min,4.51,1747634768088
$SYS/broker/messages/sent,17271282,1747634768088
$SYS/broker/publish/messages/sent,17258194,1747634768088
$SYS/broker/bytes/sent,684295496,1747634768088
$SYS/broker/publish/bytes/sent,355813568,1747634768088
