topic,payload,recv_ts
$SYS/broker/version,mosquitto version 2.0.11,1747634845167
$SYS/broker/uptime,225764 seconds,1747634845167
$SYS/broker/clients/total,13,1747634845167
$SYS/broker/clients/active,1,1747634845167
$SYS/broker/clients/connected,1,1747634845167
$SYS/broker/load/messages/received/1min,17661.58,1747634845167
$SYS/broker/load/messages/received/5min,221217.93,1747634845167
$SYS/broker/load/messages/received/15min,244505.75,1747634845167
$SYS/broker/load/messages/sent/1min,13895.68,1747634845167
$SYS/broker/load/messages/sent/5min,151082.46,1747634845168
$SYS/broker/load/messages/sent/15min,133521.69,1747634845168
$SYS/broker/load/publish/dropped/1min,3028.21,1747634845168
$SYS/broker/load/publish/dropped/5min,33154.55,1747634845168
$SYS/broker/load/publish/dropped/15min,43704.99,1747634845168
$SYS/broker/load/publish/received/1min,17651.45,1747634845168
$SYS/broker/load/publish/received/5min,221196.97,1747634845168
$SYS/broker/load/publish/received/15min,244482.48,1747634845168
$SYS/broker/load/publish/sent/1min,13881.92,1747634845168
$SYS/broker/load/publish/sent/5min,151057.24,1747634845168
$SYS/broker/load/publish/sent/15min,133493.75,1747634845168
$SYS/broker/load/bytes/received/1min,702755.03,1747634845168
$SYS/broker/load/bytes/received/5min,8764138.25,1747634845168
$SYS/broker/load/bytes/received/15min,9706342.03,1747634845168
$SYS/broker/load/bytes/sent/1min,552697.13,1747634845168
$SYS/broker/load/bytes/sent/5min,5962369.47,1747634845168
$SYS/broker/load/bytes/sent/15min,5261401.71,1747634845168
$SYS/broker/load/sockets/1min,3.02,1747634845168
$SYS/broker/load/sockets/5min,4.61,1747634845169
$SYS/broker/load/sockets/15min,4.39,1747634845169
$SYS/broker/load/connections/1min,3.02,1747634845169
$SYS/broker/load/connections/5min,4.61,1747634845169
$SYS/broker/load/connections/15min,4.39,1747634845169
$SYS/broker/messages/stored,45,1747634845169
$SYS/broker/messages/received,52669470,1747634845169
$SYS/broker/messages/sent,17271538,1747634845169
$SYS/broker/store/messages/count,45,1747634845169
$SYS/broker/store/messages/bytes,336,1747634845169
$SYS/broker/retained messages/count,45,1747634845169
$SYS/broker/heap/current,104200,1747634845169
$SYS/broker/publish/messages/received,52657301,1747634845169
$SYS/broker/publish/messages/sent,17258439,1747634845169
$SYS/broker/publish/bytes/received,1102227616,1747634845169
$SYS/broker/publish/bytes/sent,355815662,1747634845169
$SYS/broker/bytes/received,2103028664,1747634845169
$SYS/broker/bytes/sent,684306327,1747634845169
$SYS/broker/uptime,225775 seconds,1747634856140
$SYS/broker/clients/total,14,1747634856141
$SYS/broker/clients/active,2,1747634856141
$SYS/broker/clients/connected,2,1747634856141
$SYS/broker/load/messages/received/1min,14712.24,1747634856141
$SYS/broker/load/messages/sent/1min,11617.37,1747634856141
$SYS/broker/load/publish/dropped/1min,2520.95,1747634856141
$SYS/broker/load/publish/received/1min,14699.23,1747634856141
$SYS/broker/load/publish/sent/1min,11601.34,1747634856141
$SYS/broker/load/bytes/received/1min,585223.36,1747634856141
$SYS/broker/load/bytes/sent/1min,462054.01,1747634856141
$SYS/broker/load/sockets/1min,4.34,1747634856141
$SYS/broker/load/connections/1min,4.34,1747634856142
$SYS/broker/load/messages/received/5min,213255.48,1747634856142
$SYS/broker/load/messages/sent/5min,145653.70,1747634856142
$SYS/broker/load/publish/dropped/5min,31960.90,1747634856142
$SYS/broker/load/publish/received/5min,213234.29,1747634856142
$SYS/broker/load/publish/sent/5min,145628.41,1747634856142
$SYS/broker/load/bytes/received/5min,8448646.67,1747634856142
$SYS/broker/load/bytes/sent/5min,5748125.47,1747634856142
$SYS/broker/load/sockets/5min,4.84,1747634856142
$SYS/broker/load/connections/5min,4.84,1747634856142
