topic,payload,recv_ts
$SYS/broker/version,mosquitto version 2.0.11,1747635518735
$SYS/broker/uptime,226435 seconds,1747635518735
$SYS/broker/clients/inactive,11,1747635518735
$SYS/broker/clients/disconnected,11,1747635518735
$SYS/broker/clients/active,1,1747635518735
$SYS/broker/clients/connected,1,1747635518735
$SYS/broker/load/messages/received/1min,15945.37,1747635518736
$SYS/broker/load/messages/received/5min,82526.60,1747635518736
$SYS/broker/load/messages/received/15min,169197.80,1747635518736
$SYS/broker/load/messages/sent/1min,15938.96,1747635518736
$SYS/broker/load/messages/sent/5min,70437.19,1747635518736
$SYS/broker/load/messages/sent/15min,111520.60,1747635518736
$SYS/broker/load/publish/dropped/1min,5.58,1747635518736
$SYS/broker/load/publish/dropped/5min,5082.76,1747635518736
$SYS/broker/load/publish/dropped/15min,22461.14,1747635518736
$SYS/broker/load/publish/received/1min,15924.04,1747635518736
$SYS/broker/load/publish/received/5min,82485.65,1747635518736
$SYS/broker/load/publish/received/15min,169164.89,1747635518736
$SYS/broker/load/publish/sent/1min,15915.34,1747635518736
$SYS/broker/load/publish/sent/5min,70392.75,1747635518736
$SYS/broker/load/publish/sent/15min,111483.58,1747635518736
$SYS/broker/load/bytes/received/1min,617620.26,1747635518736
$SYS/broker/load/bytes/received/5min,3223264.31,1747635518737
$SYS/broker/load/bytes/received/15min,6672517.58,1747635518737
$SYS/broker/load/bytes/sent/1min,616630.82,1747635518737
$SYS/broker/load/bytes/sent/5min,2742691.67,1747635518737
$SYS/broker/load/bytes/sent/15min,4366273.72,1747635518737
$SYS/broker/load/sockets/1min,4.00,1747635518737
$SYS/broker/load/sockets/5min,7.79,1747635518737
$SYS/broker/load/sockets/15min,6.24,1747635518737
$SYS/broker/load/connections/1min,4.00,1747635518737
$SYS/broker/load/connections/5min,7.79,1747635518737
$SYS/broker/load/connections/15min,6.24,1747635518737
$SYS/broker/store/messages/bytes,334,1747635518737
$SYS/broker/heap/current,106552,1747635518737
counter/1/0/0/0,0:1747635518792:,1747635518793
counter/1/0/0/0,1:1747635518793:,1747635518835
counter/1/0/0/0,2:1747635518793:,1747635518835
counter/1/0/0/0,3:1747635518793:,1747635518835
counter/1/0/0/0,4:1747635518793:,1747635518835
counter/1/0/0/0,5:1747635518793:,1747635518835
counter/1/0/0/0,6:1747635518793:,1747635518835
counter/1/0/0/0,7:1747635518793:,1747635518836
counter/1/0/0/0,8:1747635518794:,1747635518836
counter/1/0/0/0,9:1747635518794:,1747635518836
counter/1/0/0/0,10:1747635518794:,1747635518836
counter/1/0/0/0,11:1747635518794:,1747635518836
counter/1/0/0/0,12:1747635518794:,1747635518836
counter/1/0/0/0,13:1747635518794:,1747635518836
counter/1/0/0/0,14:1747635518794:,1747635518836
counter/1/0/0/0,15:1747635518794:,1747635518836
counter/1/0/0/0,16:1747635518794:,1747635518836
counter/1/0/0/0,17:1747635518794:,1747635518836
counter/1/0/0/0,18:1747635518794:,1747635518836
counter/1/0/0/0,19:1747635518794:,1747635518836
counter/1/0/0/0,20:1747635518794:,1747635518836
counter/1/0/0/0,21:1747635518795:,1747635518836
counter/1/0/0/0,22:1747635518795:,1747635518837
counter/1/0/0/0,23:1747635518795:,1747635518837
counter/1/0/0/0,24:1747635518795:,1747635518837
counter/1/0/0/0,25:1747635518795:,1747635518837
counter/1/0/0/0,26:1747635518795:,1747635518837
counter/1/0/0/0,27:1747635518795:,1747635518837
counter/1/0/0/0,28:1747635518795:,1747635518837
counter/1/0/0/0,29:1747635518795:,1747635518837
counter/1/0/0/0,30:1747635518795:,1747635518837
counter/1/0/0/0,31:1747635518795:,1747635518837
counter/1/0/0/0,32:1747635518795:,1747635518837
counter/1/0/0/0,33:1747635518795:,1747635518837
counter/1/0/0/0,34:1747635518795:,1747635518837
counter/1/0/0/0,35:1747635518795:,1747635518837
counter/1/0/0/0,36:1747635518795:,1747635518837
counter/1/0/0/0,37:1747635518795:,1747635518837
counter/1/0/0/0,38:1747635518795:,1747635518838
counter/1/0/0/0,39:1747635518795:,1747635518840
counter/1/0/0/0,40:1747635518795:,1747635518840
counter/1/0/0/0,41:1747635518795:,1747635518842
counter/1/0/0/0,42:1747635518795:,1747635518846
counter/1/0/0/0,43:1747635518795:,1747635518859
counter/1/0/0/0,44:1747635518795:,1747635518868
counter/1/0/0/0,45:1747635518795:,1747635518870
counter/1/0/0/0,46:1747635518795:,1747635518892
counter/1/0/0/0,47:1747635518795:,1747635518892
counter/1/0/0/0,48:1747635518795:,1747635518892
counter/1/0/0/0,49:1747635518796:,1747635518899
counter/1/0/0/0,50:1747635518796:,1747635518899
counter/1/0/0/0,51:1747635518796:,1747635518901
counter/1/0/0/0,52:1747635518796:,1747635518905
counter/1/0/0/0,53:1747635518796:,1747635518912
counter/1/0/0/0,54:1747635518796:,1747635518915
counter/1/0/0/0,55:1747635518796:,1747635518919
counter/1/0/0/0,56:1747635518796:,1747635518923
counter/1/0/0/0,57:1747635518796:,1747635518927
counter/1/0/0/0,58:1747635518796:,1747635518937
counter/1/0/0/0,59:1747635518796:,1747635518937
counter/1/0/0/0,60:1747635518796:,1747635518937
counter/1/0/0/0,61:1747635518796:,1747635518937
counter/1/0/0/0,62:1747635518796:,1747635518942
counter/1/0/0/0,63:1747635518796:,1747635518946
counter/1/0/0/0,64:1747635518796:,1747635518946
counter/1/0/0/0,65:1747635518796:,1747635518946
counter/1/0/0/0,66:1747635518796:,1747635518946
counter/1/0/0/0,67:1747635518796:,1747635518946
counter/1/0/0/0,68:1747635518796:,1747635518946
counter/1/0/0/0,69:1747635518796:,1747635518946
counter/1/0/0/0,70:1747635518796:,1747635518946
counter/1/0/0/0,71:1747635518796:,1747635518947
counter/1/0/0/0,72:1747635518796:,1747635518947
counter/1/0/0/0,73:1747635518796:,1747635518947
counter/1/0/0/0,74:1747635518796:,1747635518947
counter/1/0/0/0,75:1747635518796:,1747635518953
counter/1/0/0/0,76:1747635518796:,1747635518953
counter/1/0/0/0,77:1747635518796:,1747635518953
counter/1/0/0/0,78:1747635518796:,1747635518953
counter/1/0/0/0,79:1747635518796:,1747635518953
counter/1/0/0/0,80:1747635518796:,1747635518953
counter/1/0/0/0,81:1747635518796:,1747635518953
counter/1/0/0/0,82:1747635518796:,1747635518953
counter/1/0/0/0,83:1747635518796:,1747635518954
counter/1/0/0/0,84:1747635518796:,1747635518954
counter/1/0/0/0,85:1747635518796:,1747635518954
counter/1/0/0/0,86:1747635518796:,1747635518954
counter/1/0/0/0,87:1747635518796:,1747635518954
counter/1/0/0/0,88:1747635518796:,1747635518954
counter/1/0/0/0,89:1747635518796:,1747635518954
counter/1/0/0/0,90:1747635518797:,1747635518954
counter/1/0/0/0,91:1747635518797:,1747635518955
counter/1/0/0/0,92:1747635518797:,1747635518955
counter/1/0/0/0,93:1747635518797:,1747635518955
counter/1/0/0/0,94:1747635518797:,1747635518955
counter/1/0/0/0,95:1747635518797:,1747635518955
counter/1/0/0/0,96:1747635518797:,1747635518955
counter/1/0/0/0,97:1747635518797:,1747635518955
counter/1/0/0/0,98:1747635518797:,1747635518955
counter/1/0/0/0,99:1747635518797:,1747635518955
counter/1/0/0/0,100:1747635518797:,1747635518956
counter/1/0/0/0,101:1747635518797:,1747635518956
counter/1/0/0/0,102:1747635518797:,1747635518956
counter/1/0/0/0,103:1747635518797:,1747635518956
counter/1/0/0/0,104:1747635518797:,1747635518956
counter/1/0/0/0,105:1747635518797:,1747635518956
counter/1/0/0/0,106:1747635518797:,1747635518956
counter/1/0/0/0,107:1747635518797:,1747635518956
counter/1/0/0/0,108:1747635518797:,1747635518956
counter/1/0/0/0,109:1747635518797:,1747635518957
counter/1/0/0/0,110:1747635518797:,1747635518957
counter/1/0/0/0,111:1747635518797:,1747635518957
counter/1/0/0/0,112:1747635518797:,1747635518957
counter/1/0/0/0,113:1747635518797:,1747635518957
counter/1/0/0/0,114:1747635518797:,1747635518957
counter/1/0/0/0,115:1747635518797:,1747635518957
