topic,payload,recv_ts
$SYS/broker/version,mosquitto version 2.0.11,1747634812207
$SYS/broker/uptime,225731 seconds,1747634812207
$SYS/broker/clients/total,13,1747634812207
$SYS/broker/clients/active,1,1747634812207
$SYS/broker/clients/connected,1,1747634812207
$SYS/broker/load/messages/received/1min,30599.43,1747634812207
$SYS/broker/load/messages/received/5min,246938.47,1747634812207
$SYS/broker/load/messages/received/15min,253636.61,1747634812207
$SYS/broker/load/messages/sent/1min,24010.30,1747634812207
$SYS/broker/load/messages/sent/5min,168636.86,1747634812208
$SYS/broker/load/messages/sent/15min,138504.04,1747634812208
$SYS/broker/load/publish/dropped/1min,5248.65,1747634812208
$SYS/broker/load/publish/dropped/5min,37009.70,1747634812208
$SYS/broker/load/publish/dropped/15min,45337.24,1747634812208
$SYS/broker/load/publish/received/1min,30588.94,1747634812208
$SYS/broker/load/publish/received/5min,246916.31,1747634812208
$SYS/broker/load/publish/received/15min,253612.87,1747634812208
$SYS/broker/load/publish/sent/1min,23996.14,1747634812208
$SYS/broker/load/publish/sent/5min,168610.37,1747634812208
$SYS/broker/load/publish/sent/15min,138475.60,1747634812208
$SYS/broker/load/bytes/received/1min,1217826.31,1747634812208
$SYS/broker/load/bytes/received/5min,9783173.55,1747634812208
$SYS/broker/load/bytes/received/15min,10068832.78,1747634812208
$SYS/broker/load/bytes/sent/1min,955361.61,1747634812208
$SYS/broker/load/bytes/sent/5min,6655193.19,1747634812208
$SYS/broker/load/bytes/sent/15min,5457746.44,1747634812208
$SYS/broker/load/sockets/1min,3.03,1747634812208
$SYS/broker/load/sockets/5min,4.74,1747634812209
$SYS/broker/load/sockets/15min,4.42,1747634812209
$SYS/broker/load/connections/1min,3.03,1747634812209
$SYS/broker/load/connections/5min,4.74,1747634812209
$SYS/broker/load/connections/15min,4.42,1747634812209
$SYS/broker/messages/received,52669459,1747634812209
$SYS/broker/messages/sent,17271410,1747634812209
$SYS/broker/store/messages/bytes,338,1747634812209
$SYS/broker/heap/current,104352,1747634812209
$SYS/broker/publish/messages/received,52657296,1747634812209
$SYS/broker/publish/messages/sent,17258316,1747634812209
$SYS/broker/publish/bytes/received,1102227609,1747634812209
$SYS/broker/publish/bytes/sent,355814663,1747634812209
$SYS/broker/bytes/received,2103028459,1747634812209
$SYS/broker/bytes/sent,684300878,1747634812209
$SYS/broker/uptime,225742 seconds,1747634823079
$SYS/broker/clients/total,14,1747634823079
$SYS/broker/clients/active,2,1747634823079
$SYS/broker/clients/connected,2,1747634823080
