topic,payload,recv_ts
$SYS/broker/version,mosquitto version 2.0.11,1747634614827
$SYS/broker/uptime,225533 seconds,1747634614827
$SYS/broker/clients/total,12,1747634614827
$SYS/broker/clients/inactive,12,1747634614827
$SYS/broker/clients/disconnected,12,1747634614827
$SYS/broker/clients/active,0,1747634614827
$SYS/broker/clients/connected,0,1747634614827
$SYS/broker/load/messages/received/1min,829177.50,1747634614827
$SYS/broker/load/messages/received/5min,477756.22,1747634614827
$SYS/broker/load/messages/received/15min,316045.72,1747634614828
$SYS/broker/load/messages/sent/1min,648203.21,1747634614828
$SYS/broker/load/messages/sent/5min,326164.96,1747634614828
$SYS/broker/load/messages/sent/15min,172556.48,1747634614828
$SYS/broker/load/publish/dropped/1min,142304.77,1747634614828
$SYS/broker/load/publish/dropped/5min,71606.08,1747634614828
$SYS/broker/load/publish/dropped/15min,56493.69,1747634614828
$SYS/broker/load/publish/received/1min,829151.46,1747634614828
$SYS/broker/load/publish/received/5min,477723.60,1747634614828
$SYS/broker/load/publish/received/15min,316018.89,1747634614828
$SYS/broker/load/publish/sent/1min,648170.88,1747634614828
$SYS/broker/load/publish/sent/5min,326127.35,1747634614828
$SYS/broker/load/publish/sent/15min,172524.66,1747634614828
$SYS/broker/load/bytes/received/1min,33010390.82,1747634614828
$SYS/broker/load/bytes/received/5min,18928070.79,1747634614828
$SYS/broker/load/bytes/received/15min,12546446.95,1747634614828
$SYS/broker/load/bytes/sent/1min,25805037.04,1747634614829
$SYS/broker/load/bytes/sent/5min,12872408.41,1747634614829
$SYS/broker/load/bytes/sent/15min,6799690.40,1747634614829
$SYS/broker/load/sockets/1min,4.07,1747634614829
$SYS/broker/load/sockets/5min,5.89,1747634614829
$SYS/broker/load/sockets/15min,4.62,1747634614829
$SYS/broker/load/connections/1min,4.07,1747634614829
$SYS/broker/load/connections/5min,5.89,1747634614829
$SYS/broker/load/connections/15min,4.62,1747634614829
$SYS/broker/messages/stored,49,1747634614829
$SYS/broker/messages/received,52669392,1747634614829
$SYS/broker/messages/sent,17270622,1747634614829
$SYS/broker/store/messages/count,49,1747634614829
$SYS/broker/store/messages/bytes,363,1747634614829
$SYS/broker/subscriptions/count,60,1747634614829
$SYS/broker/retained messages/count,49,1747634614829
$SYS/broker/heap/current,94088,1747634614829
$SYS/broker/publish/messages/dropped,26596112,1747634614829
$SYS/broker/publish/messages/received,52657266,1747634614830
$SYS/broker/publish/messages/sent,17257558,1747634614830
$SYS/broker/publish/bytes/received,1102227560,1747634614830
$SYS/broker/publish/bytes/sent,355808360,1747634614830
$SYS/broker/bytes/received,2103027220,1747634614830
$SYS/broker/bytes/sent,684267009,1747634614830
$SYS/broker/uptime,225544 seconds,1747634625098
$SYS/broker/clients/total,14,1747634625098
$SYS/broker/clients/active,2,1747634625098
$SYS/broker/clients/connected,2,1747634625098
$SYS/broker/load/messages/received/1min,690291.62,1747634625099
$SYS/broker/load/messages/sent/1min,539676.08,1747634625099
$SYS/broker/load/publish/dropped/1min,118467.39,1747634625099
$SYS/broker/load/publish/received/1min,690265.38,1747634625099
$SYS/broker/load/publish/sent/1min,539644.60,1747634625099
$SYS/broker/load/bytes/received/1min,27481026.87,1747634625099
$SYS/broker/load/bytes/sent/1min,21484544.35,1747634625099
$SYS/broker/load/sockets/1min,5.22,1747634625099
$SYS/broker/load/connections/1min,5.22,1747634625099
$SYS/broker/load/messages/received/5min,460557.72,1747634625099
$SYS/broker/load/messages/sent/5min,314433.57,1747634625099
$SYS/broker/load/publish/dropped/5min,69028.07,1747634625099
$SYS/broker/load/publish/received/5min,460525.29,1747634625099
$SYS/broker/load/publish/sent/5min,314396.33,1747634625100
$SYS/broker/load/bytes/received/5min,18246651.36,1747634625100
$SYS/broker/load/bytes/sent/5min,12409418.32,1747634625100
$SYS/broker/load/sockets/5min,6.08,1747634625100
$SYS/broker/load/connections/5min,6.08,1747634625100
$SYS/broker/load/messages/received/15min,312207.12,1747634625100
$SYS/broker/load/messages/sent/15min,170464.13,1747634625100
$SYS/broker/load/publish/dropped/15min,55807.41,1747634625100
$SYS/broker/load/publish/received/15min,312180.28,1747634625100
$SYS/broker/load/publish/sent/15min,170432.37,1747634625100
$SYS/broker/load/bytes/received/15min,12394048.31,1747634625100
$SYS/broker/load/bytes/sent/15min,6717240.69,1747634625100
$SYS/broker/load/sockets/15min,4.70,1747634625100
$SYS/broker/load/connections/15min,4.70,1747634625100
$SYS/broker/store/messages/bytes,362,1747634625100
$SYS/broker/subscriptions/count,63,1747634625100
$SYS/broker/heap/current,100656,1747634625101
$SYS/broker/messages/received,52669402,1747634625101
$SYS/broker/messages/sent,17270711,1747634625101
$SYS/broker/publish/messages/received,52657271,1747634625101
$SYS/broker/publish/messages/sent,17257644,1747634625101
$SYS/broker/bytes/received,2103027424,1747634625101
$SYS/broker/bytes/sent,684270900,1747634625101
$SYS/broker/publish/bytes/received,1102227568,1747634625101
$SYS/broker/publish/bytes/sent,355809034,1747634625101
$SYS/broker/uptime,225555 seconds,1747634636125
$SYS/broker/load/messages/received/1min,574661.29,1747634636125
$SYS/broker/load/messages/sent/1min,449282.58,1747634636125
$SYS/broker/load/publish/dropped/1min,98622.99,1747634636125
$SYS/broker/load/publish/received/1min,574639.45,1747634636125
$SYS/broker/load/publish/sent/1min,449254.54,1747634636125
$SYS/broker/load/bytes/received/1min,22877696.89,1747634636125
$SYS/broker/load/bytes/sent/1min,17885829.51,1747634636125
$SYS/broker/load/sockets/1min,4.34,1747634636125
$SYS/broker/load/connections/1min,4.34,1747634636125
$SYS/broker/load/messages/received/5min,443976.46,1747634636125
$SYS/broker/load/messages/sent/5min,303114.72,1747634636125
$SYS/broker/load/publish/dropped/5min,66542.88,1747634636125
$SYS/broker/load/publish/received/5min,443945.19,1747634636126
$SYS/broker/load/publish/sent/5min,303078.43,1747634636126
$SYS/broker/load/bytes/received/5min,17589724.73,1747634636126
$SYS/broker/load/bytes/sent/5min,11962678.99,1747634636126
$SYS/broker/load/sockets/5min,5.86,1747634636126
$SYS/broker/load/connections/5min,5.86,1747634636126
$SYS/broker/load/messages/received/15min,308414.48,1747634636126
$SYS/broker/load/messages/sent/15min,168393.89,1747634636126
$SYS/broker/load/publish/dropped/15min,55129.47,1747634636126
$SYS/broker/load/publish/received/15min,308387.96,1747634636126
$SYS/broker/load/publish/sent/15min,168362.39,1747634636127
$SYS/broker/load/bytes/received/15min,12243487.47,1747634636127
$SYS/broker/load/bytes/sent/15min,6635651.50,1747634636127
$SYS/broker/load/sockets/15min,4.64,1747634636127
$SYS/broker/load/connections/15min,4.64,1747634636127
$SYS/broker/heap/current,101104,1747634636127
$SYS/broker/messages/sent,17270747,1747634636127
$SYS/broker/publish/messages/sent,17257679,1747634636127
$SYS/broker/bytes/sent,684272455,1747634636127
$SYS/broker/publish/bytes/sent,355809309,1747634636127
