topic,payload,recv_ts
$SYS/broker/version,mosquitto version 2.0.11,1747634713123
$SYS/broker/uptime,225632 seconds,1747634713123
$SYS/broker/clients/total,14,1747634713123
$SYS/broker/clients/active,2,1747634713123
$SYS/broker/clients/connected,2,1747634713123
$SYS/broker/load/messages/received/1min,159256.39,1747634713123
$SYS/broker/load/messages/received/5min,343475.54,1747634713124
$SYS/broker/load/messages/received/15min,283126.54,1747634713124
$SYS/broker/load/messages/sent/1min,124574.06,1747634713124
$SYS/broker/load/messages/sent/5min,234521.93,1747634713124
$SYS/broker/load/messages/sent/15min,154594.92,1747634713124
$SYS/broker/load/publish/dropped/1min,27329.62,1747634713124
$SYS/broker/load/publish/dropped/5min,51479.31,1747634713124
$SYS/broker/load/publish/dropped/15min,50608.97,1747634713124
$SYS/broker/load/publish/received/1min,159244.51,1747634713124
$SYS/broker/load/publish/received/5min,343449.29,1747634713124
$SYS/broker/load/publish/received/15min,283101.45,1747634713124
$SYS/broker/load/publish/sent/1min,124557.15,1747634713124
$SYS/broker/load/publish/sent/5min,234490.88,1747634713124
$SYS/broker/load/publish/sent/15min,154564.91,1747634713124
$SYS/broker/load/bytes/received/1min,6339891.27,1747634713124
$SYS/broker/load/bytes/received/5min,13607940.60,1747634713124
$SYS/broker/load/bytes/received/15min,11239573.93,1747634713124
$SYS/broker/load/bytes/sent/1min,4958912.33,1747634713125
$SYS/broker/load/bytes/sent/5min,9255508.70,1747634713125
$SYS/broker/load/bytes/sent/15min,6091860.84,1747634713125
$SYS/broker/load/sockets/1min,3.20,1747634713125
$SYS/broker/load/sockets/5min,5.22,1747634713125
$SYS/broker/load/sockets/15min,4.52,1747634713125
$SYS/broker/load/connections/1min,3.20,1747634713125
$SYS/broker/load/connections/5min,5.22,1747634713125
$SYS/broker/load/connections/15min,4.52,1747634713125
$SYS/broker/messages/stored,46,1747634713125
$SYS/broker/messages/received,52669424,1747634713125
$SYS/broker/messages/sent,17271035,1747634713125
$SYS/broker/store/messages/count,46,1747634713125
